FOLDER,ELEMENT,ATTRIBUTE,,,,
MCGG-22 Earth,default,td_flim,None,,,
MCGG-22 Earth,default,td_fobj,None,,,
MCGG-22 Earth,default,td_fphi,None,,,
MCGG-22 Earth,default,td_fphiC,None,,,
MCGG-22 Earth,default,td_fpos,None,,,
MCGG-22 Earth,default,td_ftpbk,None,,,
MCGG-22 Earth,default,td_ftrip,None,,,
MCGG-22 Earth,default,typ_id,None,,,
MCGG-22 Earth,default,vtprim,None,,,
MCGG-22 Earth,default,vtsec,None,,,
MCGG-22 Earth,default,zratio,None,,,
default,Ioc Earth,AttributeType,None,,,
default,Ioc Earth,Ipset,Parameters/,Iinst,use_setting,None
default,Ioc Earth,Ipsetr,None,,,
default,Ioc Earth,Trelblock,None,,,
default,Ioc Earth,Tset,None,,,
default,Ioc Earth,cDisplayName,None,,,
default,Ioc Earth,cTset,None,,,
default,Ioc Earth,cUserDefIndex,None,,,
default,Ioc Earth,c_sfansi,None,,,
default,Ioc Earth,c_sfiec,None,,,
default,Ioc Earth,c_type,None,,,
default,Ioc Earth,calcuse,None,,,
default,Ioc Earth,charact,None,,,
default,Ioc Earth,chr_name,None,,,
default,Ioc Earth,ciDist,None,,,
default,Ioc Earth,ciDistAll,None,,,
default,Ioc Earth,ciDistAllRoot,None,,,
default,Ioc Earth,ciDistRoot,None,,,
default,Ioc Earth,ciEarthed,None,,,
default,Ioc Earth,ciEnergized,None,,,
default,Ioc Earth,ciLater,None,,,
default,Ioc Earth,ciOutaged,None,,,
default,Ioc Earth,cpArea,None,,,
default,Ioc Earth,cpBranch,None,,,
default,Ioc Earth,cpFeed,None,,,
default,Ioc Earth,cpGrid,None,,,
default,Ioc Earth,cpHeadFold,None,,,
default,Ioc Earth,cpMeteostat,None,,,
default,Ioc Earth,cpOperator,None,,,
default,Ioc Earth,cpOwner,None,,,
default,Ioc Earth,cpSite,None,,,
default,Ioc Earth,cpSubstat,None,,,
default,Ioc Earth,cpSupplySubstation,None,,,
default,Ioc Earth,cpSupplyTransformer,None,,,
default,Ioc Earth,cpSupplyTrfStation,None,,,
default,Ioc Earth,cpZone,None,,,
default,Ioc Earth,cptotime,None,,,
default,Ioc Earth,dat_src,None,,,
default,Ioc Earth,dataExtUnit,None,,,
default,Ioc Earth,fold_id,None,,,
default,Ioc Earth,for_name,None,,,
default,Ioc Earth,gnrl_modby,None,,,
default,Ioc Earth,gnrl_modif,None,,,
default,Ioc Earth,iSchemeStatus,None,,,
default,Ioc Earth,iacceptblock,None,,,
default,Ioc Earth,idir,None,,,
default,Ioc Earth,loc_name,None,,,
default,Ioc Earth,outserv,Parameters/,Iinst,use_setting,Infinity
default,Ioc Earth,root_id,None,,,
default,Ioc Earth,typ_id,None,,,
default,Logic Inst,AttributeType,None,,,
default,Logic Inst,cDisplayName,None,,,
default,Logic Inst,cUserDefIndex,None,,,
default,Logic Inst,charact,None,,,
default,Logic Inst,chr_name,None,,,
default,Logic Inst,ciDist,None,,,
default,Logic Inst,ciDistAll,None,,,
default,Logic Inst,ciDistAllRoot,None,,,
default,Logic Inst,ciDistRoot,None,,,
default,Logic Inst,ciEarthed,None,,,
default,Logic Inst,ciEnergized,None,,,
default,Logic Inst,ciLater,None,,,
default,Logic Inst,ciOutaged,None,,,
default,Logic Inst,cpArea,None,,,
default,Logic Inst,cpBranch,None,,,
default,Logic Inst,cpFeed,None,,,
default,Logic Inst,cpGrid,None,,,
default,Logic Inst,cpHeadFold,None,,,
default,Logic Inst,cpMeteostat,None,,,
default,Logic Inst,cpOperator,None,,,
default,Logic Inst,cpOwner,None,,,
default,Logic Inst,cpSite,None,,,
default,Logic Inst,cpSubstat,None,,,
default,Logic Inst,cpSupplySubstation,None,,,
default,Logic Inst,cpSupplyTransformer,None,,,
default,Logic Inst,cpSupplyTrfStation,None,,,
default,Logic Inst,cpZone,None,,,
default,Logic Inst,dat_src,None,,,
default,Logic Inst,dataExtUnit,None,,,
default,Logic Inst,fold_id,None,,,
default,Logic Inst,for_name,None,,,
default,Logic Inst,gnrl_modby,None,,,
default,Logic Inst,gnrl_modif,None,,,
default,Logic Inst,iSchemeStatus,None,,,
default,Logic Inst,iout,None,,,
default,Logic Inst,loc_name,None,,,
default,Logic Inst,outserv,ON,,,
default,Logic Inst,pSwitch,None,,,
default,Logic Inst,root_id,None,,,
default,Logic Inst,typ_id,None,,,
default,Logic Tdel,AttributeType,None,,,
default,Logic Tdel,cDisplayName,None,,,
default,Logic Tdel,cUserDefIndex,None,,,
default,Logic Tdel,charact,None,,,
default,Logic Tdel,chr_name,None,,,
default,Logic Tdel,ciDist,None,,,
default,Logic Tdel,ciDistAll,None,,,
default,Logic Tdel,ciDistAllRoot,None,,,
default,Logic Tdel,ciDistRoot,None,,,
default,Logic Tdel,ciEarthed,None,,,
default,Logic Tdel,ciEnergized,None,,,
default,Logic Tdel,ciLater,None,,,
default,Logic Tdel,ciOutaged,None,,,
default,Logic Tdel,cpArea,None,,,
default,Logic Tdel,cpBranch,None,,,
default,Logic Tdel,cpFeed,None,,,
default,Logic Tdel,cpGrid,None,,,
default,Logic Tdel,cpHeadFold,None,,,
default,Logic Tdel,cpMeteostat,None,,,
default,Logic Tdel,cpOperator,None,,,
default,Logic Tdel,cpOwner,None,,,
default,Logic Tdel,cpSite,None,,,
default,Logic Tdel,cpSubstat,None,,,
default,Logic Tdel,cpSupplySubstation,None,,,
default,Logic Tdel,cpSupplyTransformer,None,,,
default,Logic Tdel,cpSupplyTrfStation,None,,,
default,Logic Tdel,cpZone,None,,,
default,Logic Tdel,dat_src,None,,,
default,Logic Tdel,dataExtUnit,None,,,
default,Logic Tdel,fold_id,None,,,
default,Logic Tdel,for_name,None,,,
default,Logic Tdel,gnrl_modby,None,,,
default,Logic Tdel,gnrl_modif,None,,,
default,Logic Tdel,iSchemeStatus,None,,,
default,Logic Tdel,iout,None,,,
default,Logic Tdel,loc_name,None,,,
default,Logic Tdel,outserv,ON,,,
default,Logic Tdel,pSwitch,None,,,
default,Logic Tdel,root_id,None,,,
default,Logic Tdel,typ_id,None,,,
default,Measure,AttributeType,None,,,
default,Measure,Inom,None,,,
default,Measure,Is,None,,,
default,Measure,Unom,None,,,
default,Measure,cDisplayName,None,,,
default,Measure,cUserDefIndex,None,,,
default,Measure,charact,None,,,
default,Measure,chr_name,None,,,
default,Measure,ciDist,None,,,
default,Measure,ciDistAll,None,,,
default,Measure,ciDistAllRoot,None,,,
default,Measure,ciDistRoot,None,,,
default,Measure,ciEarthed,None,,,
default,Measure,ciEnergized,None,,,
default,Measure,ciLater,None,,,
default,Measure,ciOutaged,None,,,
default,Measure,cpArea,None,,,
default,Measure,cpBranch,None,,,
default,Measure,cpFeed,None,,,
default,Measure,cpGrid,None,,,
default,Measure,cpHeadFold,None,,,
default,Measure,cpMeteostat,None,,,
default,Measure,cpOperator,None,,,
default,Measure,cpOwner,None,,,
default,Measure,cpSite,None,,,
default,Measure,cpSubstat,None,,,
default,Measure,cpSupplySubstation,None,,,
default,Measure,cpSupplyTransformer,None,,,
default,Measure,cpSupplyTrfStation,None,,,
default,Measure,cpZone,None,,,
default,Measure,dat_src,None,,,
default,Measure,dataExtUnit,None,,,
default,Measure,fold_id,None,,,
default,Measure,for_name,None,,,
default,Measure,gnrl_modby,None,,,
default,Measure,gnrl_modif,None,,,
default,Measure,iSchemeStatus,None,,,
default,Measure,iphase,None,,,
default,Measure,loc_name,None,,,
default,Measure,outserv,ON,,,
default,Measure,root_id,None,,,
default,Measure,typ_id,None,,,
default,Toc Earth,AttributeType,None,,,
default,Toc Earth,Ipset,Parameters/,Is,use_setting,None
default,Toc Earth,Ipsetr,None,,,
default,Toc Earth,ModFrame,None,,,
default,Toc Earth,ResetT,None,,,
default,Toc Earth,Tadder,None,,,
default,Toc Earth,Tpset,Parameters/,xt,use_setting,None
default,Toc Earth,Trelblock,None,,,
default,Toc Earth,Tshift,None,,,
default,Toc Earth,cDisplayName,None,,,
default,Toc Earth,cResetT,None,,,
default,Toc Earth,cTadder,None,,,
default,Toc Earth,cUserDefIndex,None,,,
default,Toc Earth,c_sfansi,None,,,
default,Toc Earth,c_sfiec,None,,,
default,Toc Earth,c_type,None,,,
default,Toc Earth,calcuse,None,,,
default,Toc Earth,charact,None,,,
default,Toc Earth,chr_name,None,,,
default,Toc Earth,ciDist,None,,,
default,Toc Earth,ciDistAll,None,,,
default,Toc Earth,ciDistAllRoot,None,,,
default,Toc Earth,ciDistRoot,None,,,
default,Toc Earth,ciEarthed,None,,,
default,Toc Earth,ciEnergized,None,,,
default,Toc Earth,ciLater,None,,,
default,Toc Earth,ciOutaged,None,,,
default,Toc Earth,cminresptime,None,,,
default,Toc Earth,cpArea,None,,,
default,Toc Earth,cpBranch,None,,,
default,Toc Earth,cpFeed,None,,,
default,Toc Earth,cpGrid,None,,,
default,Toc Earth,cpHeadFold,None,,,
default,Toc Earth,cpMeteostat,None,,,
default,Toc Earth,cpOperator,None,,,
default,Toc Earth,cpOwner,None,,,
default,Toc Earth,cpSite,None,,,
default,Toc Earth,cpSubstat,None,,,
default,Toc Earth,cpSupplySubstation,None,,,
default,Toc Earth,cpSupplyTransformer,None,,,
default,Toc Earth,cpSupplyTrfStation,None,,,
default,Toc Earth,cpZone,None,,,
default,Toc Earth,dat_src,None,,,
default,Toc Earth,dataExtUnit,None,,,
default,Toc Earth,fold_id,None,,,
default,Toc Earth,for_name,None,,,
default,Toc Earth,gnrl_modby,None,,,
default,Toc Earth,gnrl_modif,None,,,
default,Toc Earth,iSchemeStatus,None,,,
default,Toc Earth,iacceptblock,None,,,
default,Toc Earth,idir,None,,,
default,Toc Earth,loc_name,None,,,
default,Toc Earth,minresptime,None,,,
default,Toc Earth,outserv,ON,,,
default,Toc Earth,pcharac,Parameters/,Curve,use_setting,None
default,Toc Earth,resetdis,None,,,
default,Toc Earth,root_id,None,,,
default,Toc Earth,typ_id,None,,,
default,Toc Earth,udeftmax,None,,,
default,Toc Earth,udeftmin,None,,,
