FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
CAPM W-Series Recloser,Default,zratio,None,,,,,,
Default,Reclosing Element_logic,Trip 1,Protection/Detection Settings/Protection Group A/,Trips To Lockout,use_setting,None,1,None,None
Default,Reclosing Element_logic,Trip 2,Protection/Detection Settings/Protection Group A/,Trips To Lockout,use_setting,None,2,None,None
Default,Reclosing Element_logic,Trip 3,Protection/Detection Settings/Protection Group A/,Trips To Lockout,use_setting,None,3,None,None
Default,Reclosing Element_logic,Trip 4,Protection/Detection Settings/Protection Group A/,Trips To Lockout,use_setting,None,4,None,None
Default,Reclosing Element_logic,HCL,Protection/Detection Settings/Protection Group A/HCL - High Current Lockout/,High Current Protection,use_setting,None,ALL,Off,N
Default,Reclosing Element,AttributeType,None,,,,,,
Default,Reclosing Element,SEFtripblock,None,,,,,,
Default,Reclosing Element,SEFtriptolock,None,,,,,,
Default,Reclosing Element,TCC1op,None,,,,,,
Default,Reclosing Element,cDisplayName,None,,,,,,
Default,Reclosing Element,cUserDefIndex,None,,,,,,
Default,Reclosing Element,c_type,None,,,,,,
Default,Reclosing Element,cclactivationt,None,,,,,,
Default,Reclosing Element,cclosingcomtime,None,,,,,,
Default,Reclosing Element,cclrecloseinterval,None,,,,,,
Default,Reclosing Element,charact,None,,,,,,
Default,Reclosing Element,chr_name,None,,,,,,
Default,Reclosing Element,ciDist,None,,,,,,
Default,Reclosing Element,ciDistAll,None,,,,,,
Default,Reclosing Element,ciDistAllRoot,None,,,,,,
Default,Reclosing Element,ciDistRoot,None,,,,,,
Default,Reclosing Element,ciEarthed,None,,,,,,
Default,Reclosing Element,ciEnergized,None,,,,,,
Default,Reclosing Element,ciLater,None,,,,,,
Default,Reclosing Element,ciOutaged,None,,,,,,
Default,Reclosing Element,clactivationt,None,,,,,,
Default,Reclosing Element,clenable,None,,,,,,
Default,Reclosing Element,closingcomtime,None,,,,,,
Default,Reclosing Element,clrecloseinterval,None,,,,,,
Default,Reclosing Element,cltripstolockout,None,,,,,,
Default,Reclosing Element,cpArea,None,,,,,,
Default,Reclosing Element,cpBranch,None,,,,,,
Default,Reclosing Element,cpFeed,None,,,,,,
Default,Reclosing Element,cpGrid,None,,,,,,
Default,Reclosing Element,cpHeadFold,None,,,,,,
Default,Reclosing Element,cpMeteostat,None,,,,,,
Default,Reclosing Element,cpOperator,None,,,,,,
Default,Reclosing Element,cpOwner,None,,,,,,
Default,Reclosing Element,cpSite,None,,,,,,
Default,Reclosing Element,cpSubstat,None,,,,,,
Default,Reclosing Element,cpSupplySubstation,None,,,,,,
Default,Reclosing Element,cpSupplyTransformer,None,,,,,,
Default,Reclosing Element,cpSupplyTrfStation,None,,,,,,
