PROJECT,GRID,SUBSTATION,CB_NAME,NEW_NAME
Coomera,Boundary Subs,HIS,HIS12B_CB,HIS12A+B_CB
Coomera,Boundary Subs,HIS,HIS16A_CB,Unknown
Coomera,Boundary Subs,HIS,HIS1B(1)_CB,HIS1B_CB
Coorparoo,Boundary Subs,CHL,CHL_BB11/12,Not Needed
Coorparoo,Boundary Subs,CHL,CHL10(1)_CB,CHL10_CB
Coorparoo,Boundary Subs,CHL,CHL11A_CB,CHL11_CB
Coorparoo,HPK,HPK,HPK8A_CB,No Active Setting
Doboy,BLB,BLB,BLB9B_CB,No Active Setting
Doboy,HMT,HMT,HMT5A_CB,Unknown
Doboy,HMT,HMT,HMT7A_CB,Unknown
Doboy,QPT,QPT,QPT13A_CB,QPT13_CB1
Doboy,QPT,QPT,QPT13B_CB,QPT13_CB2
Doboy,QPT,QPT,QPT24B_CB,QPT24A+B_CB
Gatton-Postmans Ridge,CPD,CPD,CPD1A_CB,CPD1_CB
Gatton-Postmans Ridge,CPD,CPD,CPD2A_CB,CPD2_CB
Gatton-Postmans Ridge,GTN,GTN,GTN3B_CB,GTN3A+B_CB
Gatton-Postmans Ridge,PRG,PRG,PRG2B_CB,PRG2A+B_CB
GoldCoast-Mudgeeraba-Molendinar,SPD,ANA,ANACGI14_CB,ANAGCI14_CB
GoldCoast-Mudgeeraba-Molendinar,SPD,CGI,ANACGI14_CB,ANAGCI14_CB
GoldCoast-Mudgeeraba-Molendinar,ARL,ARL,ARL12B_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,ARL,ARL,ARL13B_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,ARL,ARL,ARL2B_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,ARL,ARL,ARL3B_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,BBH,TSW,BBH3A_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,ORW,BBH7A_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,BBH,BBHPGS11_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,BDL,BDL13A_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,BDL,BDL15A_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,BDL,BDL16A_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,BDL,BDL7A_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,BDL,BDL9A_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,UPC,CCYUPC17_CB,CCYUPC17A_CB
GoldCoast-Mudgeeraba-Molendinar,CCY,CCY,CCYUPC17_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,SPD,CDRSPD12(1)_CB,CDRSPD12_CB
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,SPD,CDRSPD9(1)_CB,CDRSPD9_CB
GoldCoast-Mudgeeraba-Molendinar,SPD,CDR,CDRT3_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,PKW,GHP,GHPPKW17(1)_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,PKW,GHP,GHPPKW43_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,PKW,GHP,GHPPKW46_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,PKW,GHP,GHPPKW9_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,MGP,MGP2_CB,Unknown
GoldCoast-Mudgeeraba-Molendinar,MMC,MMC,MMC_BB13/14,Not Needed
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,NRG,NRG_BB11/12,Not Needed
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,NRG,NRG_BB13/14,Not Needed
GoldCoast-Mudgeeraba-Molendinar,SPD,OCD,OCDTR5H_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,SPD,OCD,OCDTR6_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,SPD,PCB,PCB1_CB,Unknown
GoldCoast-Mudgeeraba-Molendinar,BBH,PGS,PGS3_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,PKW,PKW,PKW15A_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,PKW,PKW,PKW5A_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,PKW,PKW,PKW7A_CB,No Active Setting
GoldCoast-Mudgeeraba-Molendinar,RBA_RBA,RHP,RBARHP_CB,Unknown
GoldCoast-Mudgeeraba-Molendinar,SPD,SOL,SOLSPH5(1)_CB,SOLSPH5_CB
GoldCoast-Mudgeeraba-Molendinar,SPO,WEL,SPOWEL13(1)_CB,SPOWEL13_CB
GoldCoast-Mudgeeraba-Molendinar,Boundary Subs,SPO,SPOWEL13_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,SPO,WHI,SSSWHI12_CB,Not Needed
GoldCoast-Mudgeeraba-Molendinar,CCY,UPC,UPC_BB11D/11A,Not Needed
Griffin-Hays Inlet,Boundary Subs,DBY,DBY_BB11/12,Not Needed
Griffin-Hays Inlet,Boundary Subs,MHL,MHL22B_CB,No Active Setting
Griffin-Hays Inlet,Boundary Subs,MHL,MHL23A_CB,No Active Setting
Griffin-Hays Inlet,Boundary Subs,MHL,MHL25A_CB,No Active Setting
Griffin-Hays Inlet,NRA,NRA,NRA12A_CB,No Active Setting
Griffin-Hays Inlet,NRA,NRA,NRA2A_CB,No Active Setting
Griffin-Hays Inlet,NRA,NRA,NRA3B_CB,No Active Setting
Griffin-Hays Inlet,NRA,NRA,NRA5A_CB,No Active Setting
Griffin-Hays Inlet,RCF,RCF,RCF5A_CB,No Active Setting
Lockrose,Boundary Subs,GGR,GGR_BB11A/11B,Not Needed
Lockrose,Boundary Subs,LLY,LLY_BB11A/11B,Not Needed
Lockrose,Boundary Subs,LLY,LLY2B_CB,Unknown
Lockrose,LRE,LRE,LRE4A_CB,No Active Setting
Lockrose,LRE,LRE,LRE6A_CB,No Active Setting
Lockrose,LRE,LRE,LRE7A_CB,No Active Setting
Lockrose,LRE,LRE,LRE8A_CB,No Active Setting
Lockrose,Boundary Subs,TRP,TRP_BB11A/11B,Not Needed
Loganlea,KSN,KSN,KSN8(1)_CB,KSN8_CB
Loganlea,Boundary Subs,NSW,NSW_BB11/12,Not Needed
Loganlea,Boundary Subs,NSW,NSW_BB13/14,Not Needed
Loganlea,Boundary Subs,NSW,NSW22B_CB,NSW22A+B_CB
Lytton,GIS,APF,APFGIS17_CB,No Active Setting
Lytton,LYT,LYT,APLLYT10B_CB,APLLYT10A+B_CB
Lytton,LYT,LYT,APLLYT16A_CB,Unknown
Lytton,LYT,LYT,APLLYT6B_CB,APLLYT6A+B_CB
Lytton,LYT,LYT,APLYT13B_CB,APLYT13A+B_CB
Lytton,LYT,CTX,CTXLYT16A_CB,Not Needed
Lytton,LYT,CTX,CTXLYT16B_CB,Not Needed
Lytton,LYT,CTX,CTXLYT7A_CB,Not Needed
Lytton,LYT,LYT,CTXLYT7A_CB,CTXLYT7+LTY7B_CB1
Lytton,LYT,CTX,CTXLYT7B_CB,Not Needed
Lytton,LYT,LYT,CTXLYT7B_CB,CTXLYT7+LTY7B_CB2
Lytton,Boundary Subs,FIS,FBSFIS13(1)_CB,Not Needed
Lytton,FBS,FBS,FBSSSC31A_CB,Unknown
Lytton,FBS,FBS,FBSSSC31B_CB,Unknown
Lytton,FIS,PBA,FISPBA11_CB,Not Needed
Lytton,FIS,PBA,FISPBA9_CB,Not Needed
Lytton,FIS,PBA,PBA_BB11/12,Not Needed
Lytton,FIS,PBA,PBA_BB11/12(1),Not Needed
Meeandah-Myrtletown,MDH,MDH,MDH11A_CB,Unknown
Meeandah-Myrtletown,MDH,MDH,MDH7A_CB,Unknown
Meeandah-Myrtletown,MTN,MDH,MTN7B_CB,Unknown
Meeandah-Myrtletown,MTN,WLP,MTNWLP5(1)_CB,Not Needed
Meeandah-Myrtletown,MTN,MTN,MTNWLP5B_CB,MTNWLP5A+B_CB
Meeandah-Myrtletown,MTN,WLP,MTNWLP6(1)_CB,Unknown
Meeandah-Myrtletown,MTN,MTN,MTNWLP6_CB,Unknown
Nudgee,Boundary Subs,AMW,CGN5_CB,Unknown
Nudgee,Boundary Subs,AMW,GBG24A(1)_CB,GBG24A_CB
Nudgee,NGE,GCN,GCNNGE15(1)_CB,GCNNGE15_CB
Nudgee,NGE,GCN,GCNNGE9(1)_CB,GCNNGE9_CB
Nudgee,HDA,HAD,HDA3B_CB,HDA3A+B_CB
Nudgee,Boundary Subs,TST,HDATST7(1)_CB,HDATST7_CB
Nudgee,HTN,HHB,HHBHTN21(1)_CB,HHBHTN21_CB
Nudgee,HTN,HTN,HHBHTN21_CB,Not Needed
Nudgee,HTN,HTN,HMRHTN7_CB,Unknown
Nudgee,HTN,HMR,HMRHTN7_CB,Unknown
Nudgee,HTN,HTN,HTN25A_CB,Unknown
Nudgee,HTN,HTN,HTN6A_CB,HTN6_CB
Nudgee,NDH,NDH,NDH5A_CB,NDH5+CP1_CB
Nudgee,Boundary Subs,TST,NDHTST4(1)_CB,NDHTST4_CB
Nudgee,Boundary Subs,TST,TST_BB11/12,Not Needed
Raceview,IPS,IPS,IPS13YMT_CB,IPSYMT13A_CB
Richlands,Boundary Subs,SMR,SMR_BB11/12,Not Needed
Richlands,Boundary Subs,BDG,WCL2_CB,Not Needed
Richlands,Boundary Subs,BDG,WSO16A_CB,Not Needed
Runcorn,Boundary Subs,EMP,EMP_BB11/13,Not Needed
Runcorn,Boundary Subs,EMP,EMPGDR21_CB,Unknown
Runcorn,SBK,GCL,GCLSBK26(2)_CB,GCLSBK26_CB
Runcorn,SBK,GCL,GCLSBY10(1)_CB,GCLSBY10_CB1
Runcorn,SBK,GCL,GCLSBY10(2)_CB,GCLSBY10_CB2
Runcorn,SBK,QEH,GUVQEH_CB,GUVQEH3_CB
Runcorn,SBK,GUV,GUVSBK28(1)_CB,GUVSBK28_CB
Runcorn,SBK,KMS,KMSTR3H_CB,Not Needed
Runcorn,SBK,KMS,KMSTR4H_CB,Not Needed
Runcorn,SBK,KMS,KMSTR5H_CB,Not Needed
Runcorn,SBK,QEH,QEHSBK13(1)_CB,QEHSBK13_CB
Runcorn,RCN,RCN,RCN11A(1)_CB,RCN11A_CB1
Runcorn,RCN,RCN,RCN4A_CB,No Active Setting
Runcorn,RCN,RCN,RCN9_CB,Unknown
Runcorn,SBK,SBK,SBK1A_CB,Unknown
Runcorn,SBK,SBK,UMG2A_CB,Wrong Sub Name
Sandgate,SGT,SGT,BSCSGT27_CB,Unknown
Sandgate,ZMR,ZMR,ZMR4A_CB,ZMR4_CB
Stafford,Boundary Subs,CSE,CSE10(1)_CB,CSE10A_CB
Stafford,Boundary Subs,CSE,CSE23A_CB,CSE23_CB
Stafford,CSE,WCE,CSEWCE18(1)_CB,CSEWCE18_CB
Stafford,CSE,WCE,CSEWCE20(1)_CB,CSEWCE20_CB
Stafford,KRN,KRN,KRN13B_CB,KRN13A+B_CB
Stafford,KRN,KRN,KRN3B_CB,KRN3A+B_CB
Stafford,Boundary Subs,CSE,KRN8A_CB,Not Needed
Stafford,Boundary Subs,SFD,SFD10_CB,No Active Setting
Stafford,Boundary Subs,SFD,SFD11_CB,No Active Setting
Stafford,Boundary Subs,SFD,SFD3_CB,No Active Setting
Stafford,Boundary Subs,SFD,SFD4_CB,No Active Setting
Stafford,Boundary Subs,SFD,SFD5_CB,No Active Setting
Stafford,Boundary Subs,SFD,SFD6B_CB,SFD6_CB
Stafford,Boundary Subs,SFD,SFD7A_CB,SFD7_CB
Stafford,Boundary Subs,SFD,SFD8_CB,No Active Setting
Stafford,Boundary Subs,SFD,SFD9_CB,No Active Setting
Stafford,CSE,WCS,WCS_BUS11/12,Not Needed
Stafford,CSE,WCS,WCS_BUS12/13,Not Needed
Stradbroke Island,Boundary Subs,IBS,HLG1(1)_CB,Not Needed
Stradbroke Island,HLG,RWG,HLG1_CB,Not Needed
Stradbroke Island,Boundary Subs,IBS,IBS1_CB,Unknown
SunCoast,AHD_AHD,AHD,AHD15B_CB,AHD15A+B_CB
SunCoast,Boundary Subs,CLD,CLD_BB11/12,Not Needed
SunCoast,Boundary Subs,CLD,CLD_BB13/14,Not Needed
SunCoast,Boundary Subs,CLD,CLD1A_CB,CLD1+C1_CB
SunCoast,Boundary Subs,CLD,CLD22A_CB,No Active Setting
SunCoast,Boundary Subs,CMD,CMD_BB11/12,Not Needed
SunCoast,Boundary Subs,KWA,KWA_BB11/12,Not Needed
SunCoast,Boundary Subs,MLB,MLB_BB11/12,Not Needed
SunCoast,Boundary Subs,WMD,WMD_BB11/12,Not Needed
SunCoast,Boundary Subs,WMD,WMD13A_CB,No Active Setting
Tennyson,Boundary Subs,MRK,ALY4MRK_CB,ALYMRK4_CB
Tennyson,Boundary Subs,MRK,ALYMRK10A_CB,ALYMRK10_CB1
Tennyson,ALY,ALY,ALYMRK10A_CB,ALYMRK10_CB1
Tennyson,Boundary Subs,MRK,ALYMRK10B_CB,ALYMRK10_CB2
Tennyson,ALY,ALY,ALYMRK10B_CB,ALYMRK10_CB2
Tennyson,STL,CBB,CBBUSTIE1,Not Needed
Tennyson,STL,CBB,CBBUSTIE2,Not Needed
Tennyson,IDY,IDY,IDY9B_CB,IDY9A+B_CB
Tennyson,KMR,KMR,KMR_BB13/14,Not Needed
Tennyson,Boundary Subs,KMR,MRK_BB11/12,Not Needed
Tennyson,Boundary Subs,MRK,MRK6_CB,No Active Setting
Tennyson,Boundary Subs,MRK,MRK8_CB,No Active Setting
Tennyson,STL,QUBSL,QUBSL13_CB,QUBSTL13_CB
Tennyson,TRG,TRG,STL4TRG_CB,STLTRG4_CB
Tennyson,TRG,TRG,TRG3B_CB,No Active Setting
Tennyson,TRG,TRG,TRGTWG12OLD_CB,TRGTWG12_CB
