FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
default,Measure Ph,cpHeadFold,None,,,,,,,
default,Measure Ph,cpMeteostat,None,,,,,,,
default,Measure Ph,cpOperator,None,,,,,,,
default,Measure Ph,cpOwner,None,,,,,,,
default,Measure Ph,cpSite,None,,,,,,,
default,Measure Ph,cpSubstat,None,,,,,,,
default,Measure Ph,cpSupplySubstation,None,,,,,,,
default,Measure Ph,cpSupplyTransformer,None,,,,,,,
default,Measure Ph,cpSupplyTrfStation,None,,,,,,,
default,Measure Ph,cpZone,None,,,,,,,
default,Measure Ph,dat_src,None,,,,,,,
default,Measure Ph,dataExtUnit,None,,,,,,,
default,Measure Ph,fold_id,None,,,,,,,
default,Measure Ph,for_name,None,,,,,,,
default,Measure Ph,gnrl_modby,None,,,,,,,
default,Measure Ph,gnrl_modif,None,,,,,,,
default,Measure Ph,iSchemeStatus,None,,,,,,,
default,Measure Ph,iphase,None,,,,,,,
default,Measure Ph,loc_name,None,,,,,,,
default,Measure Ph,outserv,ON,,,,,,,
default,Measure Ph,root_id,None,,,,,,,
default,Measure Ph,typ_id,None,,,,,,,
default,Measure Seq,AttributeType,None,,,,,,,
default,Measure Seq,Inom,CONFIGURATION/TRANSFO. RATIO/,123,use_setting,None,,,,
default,Measure Seq,Is,None,,,,,,,
default,Measure Seq,Unom,None,,,,,,,
default,Measure Seq,cDisplayName,None,,,,,,,
default,Measure Seq,cUserDefIndex,None,,,,,,,
default,Measure Seq,charact,None,,,,,,,
default,Measure Seq,chr_name,None,,,,,,,
default,Measure Seq,ciDist,None,,,,,,,
default,Measure Seq,ciDistAll,None,,,,,,,
default,Measure Seq,ciDistAllRoot,None,,,,,,,
default,Measure Seq,ciDistRoot,None,,,,,,,
default,Measure Seq,ciEarthed,None,,,,,,,
default,Measure Seq,ciEnergized,None,,,,,,,
default,Measure Seq,ciLater,None,,,,,,,
default,Measure Seq,ciOutaged,None,,,,,,,
default,Measure Seq,cpArea,None,,,,,,,
default,Measure Seq,cpBranch,None,,,,,,,
default,Measure Seq,cpFeed,None,,,,,,,
default,Measure Seq,cpGrid,None,,,,,,,
default,Measure Seq,cpHeadFold,None,,,,,,,
default,Measure Seq,cpMeteostat,None,,,,,,,
default,Measure Seq,cpOperator,None,,,,,,,
default,Measure Seq,cpOwner,None,,,,,,,
default,Measure Seq,cpSite,None,,,,,,,
default,Measure Seq,cpSubstat,None,,,,,,,
default,Measure Seq,cpSupplySubstation,None,,,,,,,
default,Measure Seq,cpSupplyTransformer,None,,,,,,,
default,Measure Seq,cpSupplyTrfStation,None,,,,,,,
default,Measure Seq,cpZone,None,,,,,,,
default,Measure Seq,dat_src,None,,,,,,,
default,Measure Seq,dataExtUnit,None,,,,,,,
default,Measure Seq,fold_id,None,,,,,,,
default,Measure Seq,for_name,None,,,,,,,
default,Measure Seq,gnrl_modby,None,,,,,,,
default,Measure Seq,gnrl_modif,None,,,,,,,
default,Measure Seq,iSchemeStatus,None,,,,,,,
default,Measure Seq,iphase,None,,,,,,,
default,Measure Seq,loc_name,None,,,,,,,
default,Measure Seq,outserv,ON,,,,,,,
default,Measure Seq,root_id,None,,,,,,,
default,Measure Seq,typ_id,None,,,,,,,
default,Dir I>,AttributeType,None,,,,,,,
default,Dir I>,cAlpha,None,,,,,,,
default,Dir I>,cBeta,None,,,,,,,
default,Dir I>,cDisplayName,None,,,,,,,
default,Dir I>,cUserDefIndex,None,,,,,,,
default,Dir I>,c_pol,None,,,,,,,
default,Dir I>,c_sfansi,None,,,,,,,
default,Dir I>,c_sfiec,None,,,,,,,
default,Dir I>,charact,None,,,,,,,
default,Dir I>,chr_name,None,,,,,,,
default,Dir I>,ciDist,None,,,,,,,
default,Dir I>,ciDistAll,None,,,,,,,
default,Dir I>,ciDistAllRoot,None,,,,,,,
default,Dir I>,ciDistRoot,None,,,,,,,
default,Dir I>,ciEarthed,None,,,,,,,
default,Dir I>,ciEnergized,None,,,,,,,
default,Dir I>,ciLater,None,,,,,,,
default,Dir I>,ciOutaged,None,,,,,,,
default,Dir I>,cpArea,None,,,,,,,
default,Dir I>,cpBranch,None,,,,,,,
default,Dir I>,cpFeed,None,,,,,,,
default,Dir I>,cpGrid,None,,,,,,,
default,Dir I>,cpHeadFold,None,,,,,,,
default,Dir I>,cpMeteostat,None,,,,,,,
default,Dir I>,cpOperator,None,,,,,,,
default,Dir I>,cpOwner,None,,,,,,,
default,Dir I>,cpSite,None,,,,,,,
default,Dir I>,cpSubstat,None,,,,,,,
default,Dir I>,cpSupplySubstation,None,,,,,,,
