FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
Default,Reclosing Element_logic,EF2+,Protection/Group1/Overcurrent/EarthFaultOvercurrent/,EFNumberofTrips,use_setting,None,ALL,None,None
Default,Reclosing Element_logic,EF3+,Protection/Group1/Overcurrent/EarthFaultOvercurrent/,EFNumberofTrips,use_setting,None,ALL,None,None
Default,Reclosing Element_logic,SEF+,Protection/Group1/Overcurrent/SensitiveEarthFault/SEFF/,First,use_setting,None,ALL,D,N
Default,Reclosing Element,AttributeType,None,,,,,,
Default,Reclosing Element,SEFtripblock,None,,,,,,
Default,Reclosing Element,SEFtriptolock,None,,,,,,
Default,Reclosing Element,TCC1op,None,,,,,,
Default,Reclosing Element,cDisplayName,None,,,,,,
Default,Reclosing Element,cUserDefIndex,None,,,,,,
Default,Reclosing Element,c_type,None,,,,,,
Default,Reclosing Element,cclactivationt,None,,,,,,
Default,Reclosing Element,cclosingcomtime,None,,,,,,
Default,Reclosing Element,cclrecloseinterval,None,,,,,,
Default,Reclosing Element,charact,None,,,,,,
Default,Reclosing Element,chr_name,None,,,,,,
Default,Reclosing Element,ciDist,None,,,,,,
Default,Reclosing Element,ciDistAll,None,,,,,,
Default,Reclosing Element,ciDistAllRoot,None,,,,,,
Default,Reclosing Element,ciDistRoot,None,,,,,,
Default,Reclosing Element,ciEarthed,None,,,,,,
Default,Reclosing Element,ciEnergized,None,,,,,,
Default,Reclosing Element,ciLater,None,,,,,,
Default,Reclosing Element,ciOutaged,None,,,,,,
Default,Reclosing Element,clactivationt,None,,,,,,
Default,Reclosing Element,clenable,None,,,,,,
Default,Reclosing Element,closingcomtime,None,,,,,,
Default,Reclosing Element,clrecloseinterval,None,,,,,,
Default,Reclosing Element,cltripstolockout,None,,,,,,
Default,Reclosing Element,cpArea,None,,,,,,
Default,Reclosing Element,cpBranch,None,,,,,,
Default,Reclosing Element,cpFeed,None,,,,,,
Default,Reclosing Element,cpGrid,None,,,,,,
Default,Reclosing Element,cpHeadFold,None,,,,,,
Default,Reclosing Element,cpMeteostat,None,,,,,,
Default,Reclosing Element,cpOperator,None,,,,,,
Default,Reclosing Element,cpOwner,None,,,,,,
Default,Reclosing Element,cpSite,None,,,,,,
Default,Reclosing Element,cpSubstat,None,,,,,,
Default,Reclosing Element,cpSupplySubstation,None,,,,,,
Default,Reclosing Element,cpSupplyTransformer,None,,,,,,
Default,Reclosing Element,cpSupplyTrfStation,None,,,,,,
Default,Reclosing Element,cpZone,None,,,,,,
