FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
default,Measure Ph,iphase,None,,,,,,,
default,Measure Ph,loc_name,None,,,,,,,
default,Measure Ph,outserv,ON,,,,,,,
default,Measure Ph,root_id,None,,,,,,,
default,Measure Ph,typ_id,None,,,,,,,
default,Measure Seq,AttributeType,None,,,,,,,
default,Measure Seq,Inom,CONFIGURATION/CT RATIO/,123,use_setting,None,,,,
default,Measure Seq,Is,None,,,,,,,
default,Measure Seq,Unom,None,,,,,,,
default,Measure Seq,cDisplayName,None,,,,,,,
default,Measure Seq,cUserDefIndex,None,,,,,,,
default,Measure Seq,charact,None,,,,,,,
default,Measure Seq,chr_name,None,,,,,,,
default,Measure Seq,ciDist,None,,,,,,,
default,Measure Seq,ciDistAll,None,,,,,,,
default,Measure Seq,ciDistAllRoot,None,,,,,,,
default,Measure Seq,ciDistRoot,None,,,,,,,
default,Measure Seq,ciEarthed,None,,,,,,,
default,Measure Seq,ciEnergized,None,,,,,,,
default,Measure Seq,ciLater,None,,,,,,,
default,Measure Seq,ciOutaged,None,,,,,,,
default,Measure Seq,cpArea,None,,,,,,,
default,Measure Seq,cpBranch,None,,,,,,,
default,Measure Seq,cpFeed,None,,,,,,,
default,Measure Seq,cpGrid,None,,,,,,,
default,Measure Seq,cpHeadFold,None,,,,,,,
default,Measure Seq,cpMeteostat,None,,,,,,,
default,Measure Seq,cpOperator,None,,,,,,,
default,Measure Seq,cpOwner,None,,,,,,,
default,Measure Seq,cpSite,None,,,,,,,
default,Measure Seq,cpSubstat,None,,,,,,,
default,Measure Seq,cpSupplySubstation,None,,,,,,,
default,Measure Seq,cpSupplyTransformer,None,,,,,,,
default,Measure Seq,cpSupplyTrfStation,None,,,,,,,
default,Measure Seq,cpZone,None,,,,,,,
default,Measure Seq,dat_src,None,,,,,,,
default,Measure Seq,dataExtUnit,None,,,,,,,
default,Measure Seq,fold_id,None,,,,,,,
default,Measure Seq,for_name,None,,,,,,,
default,Measure Seq,gnrl_modby,None,,,,,,,
default,Measure Seq,gnrl_modif,None,,,,,,,
default,Measure Seq,iSchemeStatus,None,,,,,,,
default,Measure Seq,iphase,None,,,,,,,
default,Measure Seq,loc_name,None,,,,,,,
default,Measure Seq,outserv,ON,,,,,,,
default,Measure Seq,root_id,None,,,,,,,
default,Measure Seq,typ_id,None,,,,,,,
default,Reclosing_logic,IM,PROTECTION G1/[79] AUTORECLOSE/,281,use_setting,+,1,ALL,None,None
default,Reclosing_logic,IMM,PROTECTION G1/[79] AUTORECLOSE/,281,use_setting,+,1,ALL,None,None
default,Reclosing_logic,IMMM,PROTECTION G1/[79] AUTORECLOSE/,281,use_setting,+,1,ALL,None,None
default,Reclosing_logic,INM,PROTECTION G1/[79] AUTORECLOSE/,282,use_setting,+,1,ALL,None,None
default,Reclosing_logic,INMM,PROTECTION G1/[79] AUTORECLOSE/,282,use_setting,+,1,ALL,None,None
default,Reclosing_logic,INMMM,PROTECTION G1/[79] AUTORECLOSE/,282,use_setting,+,1,ALL,None,None
default,Reclosing_logic,Ineg,PROTECTION G1/[46] NEG SEQ OC/,025C,use_setting,None,ALL,no,N,
default,Reclosing,AttributeType,None,,,,,,,
default,Reclosing,SEFtripblock,None,,,,,,,
default,Reclosing,SEFtriptolock,None,,,,,,,
default,Reclosing,TCC1op,None,,,,,,,
default,Reclosing,cDisplayName,None,,,,,,,
default,Reclosing,cUserDefIndex,None,,,,,,,
default,Reclosing,c_type,None,,,,,,,
default,Reclosing,cclactivationt,None,,,,,,,
default,Reclosing,cclosingcomtime,None,,,,,,,
default,Reclosing,cclrecloseinterval,None,,,,,,,
default,Reclosing,charact,None,,,,,,,
default,Reclosing,chr_name,None,,,,,,,
default,Reclosing,ciDist,None,,,,,,,
default,Reclosing,ciDistAll,None,,,,,,,
