FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,,
Generic SEL351 Relay,Default,td_fR,None,,,,,,,,
Generic SEL351 Relay,Default,td_fRC,None,,,,,,,,
Generic SEL351 Relay,Default,td_fX,None,,,,,,,,
Generic SEL351 Relay,Default,td_fXC,None,,,,,,,,
Generic SEL351 Relay,Default,td_fZ,None,,,,,,,,
Generic SEL351 Relay,Default,td_fZC,None,,,,,,,,
Generic SEL351 Relay,Default,td_flim,None,,,,,,,,
Generic SEL351 Relay,Default,td_fobj,None,,,,,,,,
Generic SEL351 Relay,Default,td_fphi,None,,,,,,,,
Generic SEL351 Relay,Default,td_fphiC,None,,,,,,,,
Generic SEL351 Relay,Default,td_fpos,None,,,,,,,,
Generic SEL351 Relay,Default,td_ftpbk,None,,,,,,,,
Generic SEL351 Relay,Default,td_ftrip,None,,,,,,,,
Generic SEL351 Relay,Default,typ_id,None,,,,,,,,
Generic SEL351 Relay,Default,vtprim,None,,,,,,,,
Generic SEL351 Relay,Default,vtsec,None,,,,,,,,
Generic SEL351 Relay,Default,zratio,None,,,,,,,,
Default,MeasU-I,AttributeType,None,,,,,,,,
Default,MeasU-I,Inom,None,,,,,,,,
Default,MeasU-I,Is,None,,,,,,,,
Default,MeasU-I,Unom,None,,,,,,,,
Default,MeasU-I,cDisplayName,None,,,,,,,,
Default,MeasU-I,cUserDefIndex,None,,,,,,,,
Default,MeasU-I,charact,None,,,,,,,,
Default,MeasU-I,chr_name,None,,,,,,,,
Default,MeasU-I,ciDist,None,,,,,,,,
Default,MeasU-I,ciDistAll,None,,,,,,,,
Default,MeasU-I,ciDistAllRoot,None,,,,,,,,
Default,MeasU-I,ciDistRoot,None,,,,,,,,
Default,MeasU-I,ciEarthed,None,,,,,,,,
Default,MeasU-I,ciEnergized,None,,,,,,,,
Default,MeasU-I,ciLater,None,,,,,,,,
Default,MeasU-I,ciOutaged,None,,,,,,,,
Default,MeasU-I,cpArea,None,,,,,,,,
Default,MeasU-I,cpBranch,None,,,,,,,,
Default,MeasU-I,cpFeed,None,,,,,,,,
Default,MeasU-I,cpGrid,None,,,,,,,,
Default,MeasU-I,cpHeadFold,None,,,,,,,,
Default,MeasU-I,cpMeteostat,None,,,,,,,,
Default,MeasU-I,cpOperator,None,,,,,,,,
Default,MeasU-I,cpOwner,None,,,,,,,,
Default,MeasU-I,cpSite,None,,,,,,,,
Default,MeasU-I,cpSubstat,None,,,,,,,,
Default,MeasU-I,cpSupplySubstation,None,,,,,,,,
Default,MeasU-I,cpSupplyTransformer,None,,,,,,,,
Default,MeasU-I,cpSupplyTrfStation,None,,,,,,,,
Default,MeasU-I,cpZone,None,,,,,,,,
Default,MeasU-I,dat_src,None,,,,,,,,
Default,MeasU-I,dataExtUnit,None,,,,,,,,
Default,MeasU-I,fold_id,None,,,,,,,,
Default,MeasU-I,for_name,None,,,,,,,,
Default,MeasU-I,gnrl_modby,None,,,,,,,,
Default,MeasU-I,gnrl_modif,None,,,,,,,,
Default,MeasU-I,iSchemeStatus,None,,,,,,,,
Default,MeasU-I,iphase,None,,,,,,,,
Default,MeasU-I,loc_name,None,,,,,,,,
Default,MeasU-I,outserv,ON,,,,,,,,
Default,MeasU-I,root_id,None,,,,,,,,
Default,MeasU-I,typ_id,None,,,,,,,,
Default,Meas Delta,AttributeType,None,,,,,,,,
Default,Meas Delta,Inom,None,,,,,,,,
Default,Meas Delta,Is,None,,,,,,,,
Default,Meas Delta,Unom,None,,,,,,,,
Default,Meas Delta,cDisplayName,None,,,,,,,,
Default,Meas Delta,cUserDefIndex,None,,,,,,,,
Default,Meas Delta,charact,None,,,,,,,,
Default,Meas Delta,chr_name,None,,,,,,,,
Default,Meas Delta,ciDist,None,,,,,,,,
Default,Meas Delta,ciDistAll,None,,,,,,,,
Default,Meas Delta,ciDistAllRoot,None,,,,,,,,
Default,Meas Delta,ciDistRoot,None,,,,,,,,
Default,Meas Delta,ciEarthed,None,,,,,,,,
Default,Meas Delta,ciEnergized,None,,,,,,,,
Default,Meas Delta,ciLater,None,,,,,,,,
Default,Meas Delta,ciOutaged,None,,,,,,,,
Default,Meas Delta,cpArea,None,,,,,,,,
Default,Meas Delta,cpBranch,None,,,,,,,,
Default,Meas Delta,cpFeed,None,,,,,,,,
Default,Meas Delta,cpGrid,None,,,,,,,,
Default,Meas Delta,cpHeadFold,None,,,,,,,,
Default,Meas Delta,cpMeteostat,None,,,,,,,,
