descriptionenu,assetname,patternname,relayversion,active,sri,relaysettingid,datesetting
Protection Relay,GARBSS-FB61-J01-J11,SEL-351S -5 -6 -7   001 - 010,001 - 010,1,1718PLNQ-0025-01,D1C31897-603D-44AE-972D-8DEF622B8763,2019-05-01T08:50:33
Protection Relay,GARBSS-FB61-J01-J11,SEL-351S -5 -6 -7   001 - 010,001 - 010,0,WR1310762-0031-10,41660262-F861-45ED-96E7-147E7AEFAE11,2022-03-25T14:35:22
Protection Relay,GARBSS-FB61-J01-J11,SEL-351S -5 -6 -7   001 - 010,001 - 010,0,ST1017-0007-75,88D9DEDF-78C9-4EE0-A43A-3D169813174C,2019-02-27T12:07:55
