asset_id,equip_no,plant_no
60001675,000002334506,GS-52508                      
60001409,000002235695,GS-65969                      
60000705,000002245738,GS-65457                      
21002702,000002245586,GS-54275                      
60000469,000002294157,GS-65243                      
60000518,000002317913,GS-65288                      
60000084,000002326052,GS-64918                      
60004604,000002099347,GS-83502                      
10029987,000002687689,GS-53700                      
21005640,000002241382,GS-54548                      
21005975,000002242357,GS-54574                      
10105786,000002787765,GS-70938                      
10105794,000002787880,GS-70940                      
60000571,000002320187,GS-65334                      
21025184,000002135214,GS-73698                      
10029902,000002135329,GS-53626                      
21011933,000002583255,GS-55074                      
21008024,000002586687,GS-54747                      
10029436,000002308683,GS-53298                      
10029791,000002132769,GS-53547                      
81688643,000002437173,GS-88947                      
50080169,000002392302,GS-82028                      
21022782,000002200027,GS-55809                      
21021096,000002212266,GS-55213                      
30184408,000002400893,GS-77608                      
40212820,000002686418,GS-61839                      
40212794,000002685764,GS-61826                      
30184480,000002403999,GS-77679                      
50076029,000002554257,GS-64223                      
40212853,000002687394,GS-61858                      
50083861,000002377139,GS-82400                      
50061141,000002593953,GS-80703                      
50073713,000002666517,GS-81726                      
50067309,000002170959,GS-63734                      
50080021,000002381287,GS-81940                      
10130000,000002678427,GS-71627                      
50061692,000002166514,GS-80808                      
40212773,000002685070,GS-61813                      
50064146,000002243403,GS-63300                      
50064932,000002078895,GS-63425                      
50063864,000002252301,GS-63257                      
50067515,000002854480,LB-63784                      
50067546,000002855537,GS-63794                      
50073002,000002484603,GS-81644                      
50063211,000002591944,GS-63161                      
60001802,000002227293,GS-66258                      
60000223,000002392051,GS-65030                      
50063643,000002123585,GS-63207                      
111616353,000008739502,GS-804386                     
111546418,000008686408,GS-792931                     
111619472,000008742144,GS-803034                     
21009672,000002214439,GS-54884                      
111613222,000008736637,GS-803906                     
82715418,000005723454,GS-271680                     
84310162,000007630038,GS-872000                     
10029809,000002133252,GS-53561                      
84270047,000007263381,GS-834320                     
112450511,000009204346,GS-2607201                    
112362661,000009116403,GS-872318                     
112452235,000009206061,GS-2611600                    
112465164,000009217496,GS-883380                     
112472801,000009225379,GS-884434                     
30186236,000002499965,GS-57278                      
60000185,000002390528,GS-64999                      
60001926,000002231476,GS-66355                      
60000795,000002311197,GS-65535                      
50082620,000002397408,GS-82234                      
60325246,000002021583,GS-67525                      
50085048,000002303100,GS-64645                      
10029138,000002816204,GS-53095                      
50067605,000002119029,GS-63815                      
50079497,000002385525,GS-81792                      
50061870,000002316794,GS-80847                      
50067521,000002854629,GS-63786                      
10029755,000002132032,GS-53525                      
25265994,000002128253,GS-73915                      
84204928,000007263411,GS-787122                     
84388876,000007629954,GS-943925                     
85008811,000008222506,GS-1299203                    
10129579,000002738194,GS-71575                      
50074324,000002595005,GS-64001                      
80114071,000002728411,GS-68122                      
112325544,000009085733,GS-868622                     
84591299,000007753006,GS-1099443                    
112759939,000009468637,GS-910497                     
82541299,000005321124,GS-204484                     
50061106,000002276094,GS-80693                      
50063325,000002295722,GS-63173                      
50080075,000002383032,GS-81971                      
50061463,000002379314,GS-80749                      
50068508,000002801643,GS-81017                      
50066750,000002178299,GS-63651                      
50061671,000002165842,GS-80797                      
112320102,000009081714,GS-868532                     
84565771,000007715326,GS-1074641                    
10029266,000002819707,GS-53165                      
10131919,000002230184,GS-71844                      
10131972,000002231284,GS-71876                      
50082493,000002386804,GS-82195                      
10030681,000002802525,GS-54093                      
60327052,000002663532,GS-85396                      
50084034,000005426468,GS-211360                     
60325189,000002836805,GS-67518                      
112599336,000009348725,GS-896820                     
50061150,000002594210,GS-80706                      
50067551,000005201220,GS-63796                      
10029927,000002684919,GS-53646                      
10130145,000002682273,GS-71690                      
10128699,000002263339,GS-71483                      
10029456,000002309172,GS-53314                      
84943724,000008131317,GS-1327840                    
84941831,000008126059,GS-1324960                    
84364291,000007630042,GS-925680                     
60001462,000002273906,GS-66008                      
50078008,000002466956,GS-64405                      
112793448,000009492298,GS-913394                     
111814413,000008871408,GS-823106                     
111542922,000008683004,GS-795796                     
84898651,000008080355,GS-1278721                    
103712984,000008637882,GS-787968                     
10135983,000002738864,GS-71585                      
84000749,000006958972,GS-623920                     
84026070,000006800331,GS-649120                     
83914490,000006612108,GS-484812                     
112322864,000009083586,GS-868874                     
84888142,000008073955,GS-1266560                    
50067430,000002851262,GS-63756                      
84564250,000007712002,GS-1072720                    
85114347,000008278200,GS-1387440                    
50063873,000002111529,GS-63261                      
84811823,000007995577,GS-1214325                    
112218888,000009008988,GS-2264960                    
84914229,000008093928,GS-1296400                    
82545632,000006632888,GS-537201                     
111626328,000008746171,GS-805066                     
112176478,000008996378,GS-857686                     
111779973,000008850604,GS-819660                     
111765267,000008841391,GS-818341                     
84795145,000007988176,GS-1211764                    
112402881,000009158717,GS-876668                     
112337061,000009095777,GS-869912                     
112408465,000009163664,GS-877796                     
112365767,000009119900,GS-872482                     
84484434,000007630037,GS-1013040                    
10134607,000005317320,GS-225124                     
111898326,000008907530,GS-854134                     
84934297,000008115423,GS-1314560                    
84929661,000008110157,GS-1306720                    
84930718,000008111034,GS-1308880                    
84975560,000008171300,GS-1292642                    
40207425,000002670786,GS-78918                      
85238112,000008492370,GS-1442406                    
112420803,000009175192,GS-879172                     
112285526,000009046936,GS-863722                     
112285571,000009046932,GS-863723                     
10030720,000002803255,GS-54107                      
84890044,000008074686,GS-1267841                    
30061641,000002111893,GS-56571                      
112762405,000009470169,GS-910554                     
111639997,000008755961,GS-806686                     
111812923,000008870329,GS-822896                     
111817791,000008874631,GS-2111841                    
84441514,000007629983,GS-981520                     
84356797,000007629930,GS-920320                     
85125986,000008282474,GS-1388960                    
30061702,000002534390,GS-56632                      
60001765,000002336963,GS-66226                      
84384305,000007619951,GS-940082                     
50079540,000002387072,GS-81811                      
50061496,000002380413,GS-80759                      
50063317,000002295497,GS-63171                      
50065436,000002232393,GS-63483                      
50063658,000002123811,GS-63209                      
50063662,000002123940,GS-63210                      
30061897,000002077925,GS-56821                      
84356785,000007629927,GS-920080                     
60000213,000002391771,GS-65024                      
60001899,000002230639,GS-66338                      
