asset_id,equip_no,plant_no
85170365,000008414475,RC-1422400                    
84713474,000007931676,RC-1174640                    
80116095,000002269539,RC-68293                      
82533398,000005190743,RC-335206                     
60330665,000002664900,RC-87152                      
81705271,000002169559,RC-89295                      
83844434,000006328582,RC-464333                     
60002026,000002270298,RC-66409                      
84482585,000007573285,RC-1011124                    
84561165,000007707793,RC-997768                     
85238235,000008492538,RC-1456644                    
85013882,000008223826,RC-1355360                    
60002563,000002183390,RC-66685                      
60002635,000002184571,RC-66718                      
10029375,000002306864,RC-53252                      
84027394,000006801439,RC-650721                     
84849209,000008042299,RC-1242960                    
84830824,000008021996,RC-1234161                    
84695081,000007900368,RC-1124566                    
111510465,000008662893,RC-791223                     
40217025,000002255840,RC-62900                      
40202838,000002468832,RC-289764                     
84566821,000007718819,RC-1075846                    
30184243,000002798065,RC-77507                      
50067794,000002124630,RC-63844                      
10029826,000002133650,RC-53572                      
84162040,000007027294,RC-750641                     
40206403,000002363152,RC-78271                      
84176833,000007053902,RC-660889                     
84208520,000007114112,RC-791364                     
83991131,000006748200,RC-614080                     
84293807,000007244215,RC-854800                     
84292355,000007242930,RC-852743                     
40199356,000002534220,RC-58500                      
111615379,000008738832,RC-804100                     
111615684,000008738824,RC-804294                     
111615562,000008738601,RC-803874                     
84309978,000007266137,RC-871684                     
84469222,000007552150,RC-999689                     
82432084,000002216025,RC-95119                      
82432085,000002216047,RC-95120                      
60002497,000002111261,RC-66622                      
40222633,000002210359,RC-80286                      
82433514,000002159160,RC-95194                      
83911293,000006608604,RC-498962                     
25279584,000002593021,RC-68898                      
85339124,000008592390,RC-1531685                    
85342638,000008595253,RC-1538641                    
83914694,000006612208,RC-495684                     
84433887,000007459369,RC-911607                     
85330770,000008585016,RC-1524880                    
85334015,000008587734,RC-779545                     
85303695,000008561433,RC-1503377                    
85303674,000008561453,RC-1503361                    
85325139,000008579783,RC-778770                     
40212461,000002305382,RC-61696                      
84666494,000007860778,RC-1121602                    
82922449,000005991432,RC-368242                     
84664747,000007858294,RC-1119603                    
60002451,000002109435,RC-66576                      
84962793,000008155454,RC-1314722                    
84422227,000007436116,RC-967600                     
84580560,000007736823,RC-1087920                    
84580572,000007736830,RC-1088001                    
84323217,000007288705,RC-884484                     
84322460,000007287769,RC-883369                     
84396729,000007393725,RC-949442                     
84698509,000007903696,RC-1160727                    
84526538,000007652054,RC-1049042                    
82994281,000006138529,RC-398648                     
40216192,000002259795,RC-62733                      
84127490,000006980010,RC-732080                     
84725186,000007949178,RC-1190321                    
84919864,000008101973,RC-884044                     
85256752,000008513475,RC-1472164                    
60002576,000002183794,RC-66666                      
82436211,000002087320,RC-95293                      
40203388,000002430535,RC-60034                      
84485531,000007579389,RC-1013690                    
40199449,000002536216,RC-58542                      
84833909,000008025433,RC-1237201                    
111757991,000008836863,RC-818217                     
40214899,000002257966,RC-62694                      
10131940,000002230500,RC-71853                      
83863856,000006374427,RC-439526                     
30186969,000002777148,RC-57338                      
60327082,000002755076,RC-88388                      
30185848,000002794646,RC-57120                      
111637031,000008753502,RC-805948                     
84166703,000007033354,RC-752644                     
84903920,000008086296,RC-884168                     
84720525,000007940368,RC-1185200                    
84664751,000007858304,RC-1119606                    
84800548,000007988569,RC-1212640                    
50080337,000002371171,RC-82090                      
50080338,000002371201,RC-82091                      
50080339,000002371244,RC-82092                      
84708494,000007923683,RC-1170320                    
81651422,000002691101,RC-70344                      
40213448,000002298001,RC-62181                      
60002512,000002111729,RC-66634                      
60002524,000002112178,RC-66646                      
60002527,000002112294,RC-66649                      
60322680,000002777337,RC-67472                      
84698513,000007903708,RC-1160730                    
84043593,000006821796,RC-664162                     
84829452,000008020983,RC-1233281                    
84544704,000007682783,RC-1005208                    
84078812,000006901978,RC-698804                     
25268325,000002092085,RC-74826                      
85287067,000008545573,RC-1489601                    
83943287,000006671088,RC-560004                     
112176722,000008996373,RC-857830                     
84203954,000007101905,RC-786163                     
84168161,000007034904,RC-694191                     
84204437,000007102506,RC-786643                     
84540760,000007672438,RC-1058884                    
82766590,000006170269,RC-304163                     
84078701,000006901935,RC-698480                     
40202730,000002465740,RC-59559                      
40206673,000002699770,RC-78457                      
84713876,000007931937,RC-1175440                    
40204090,000002421050,RC-60531                      
111816051,000008872979,RC-822987                     
60327943,000002104388,RC-85697                      
40199264,000002532884,RC-58473                      
10135567,000002295584,RC-88989                      
40203383,000002430366,RC-60030                      
50070658,000002038225,RC-81304                      
50062001,000002157553,RC-80876                      
40214502,000002264016,RC-62503                      
25268099,000002412183,RC-74736                      
50069140,000002501608,RC-81118                      
84697644,000007902971,RC-1159840                    
60002522,000002112099,RC-66644                      
60002562,000002183363,RC-66684                      
80124374,000002183423,RC-87201                      
10029336,000002305623,RC-53221                      
84303236,000007255534,RC-862960                     
111661676,000008772485,RC-808949                     
