relaysettingid,nameenu,actualvalue
3EA4DCFF-130C-49E5-9CB5-7C196A753294,Ratio I_1,80.0
3EA4DCFF-130C-49E5-9CB5-7C196A753294,Iprim_1,400.0
3EA4DCFF-130C-49E5-9CB5-7C196A753294,Isec_1,5.0
