patternname,nameenu,relaysettingid,datesetting,deviceid,assetname,locationpathenu
P123 V13 V14 HEX,AHL9A,A540CA03-0CAB-4266-9BF3-1C25C0F585A6,2021-03-23T14:48:01,J25B,P123_2,Energex/Substations/AHL/11 kV/AHL9A/
P123 V13 V14 HEX,AHL9A,97717C24-0D3D-44F1-9BE5-DFB9B5308871,2021-03-23T14:51:17,J25A,P123_1,Energex/Substations/AHL/11 kV/AHL9A/
