asset_id,equip_no,plant_no
30062879,000002600958,DO-75863                      
10128414,000002749617,DO-71369                      
85246956,000008502142,DO-1466961                    
80110013,000002278736,DO-68080                      
84554651,000007697817,DO-1067947                    
40208573,000002664000,DO-79489                      
40213846,000002575415,DO-62351                      
50071626,000002195073,DO-81432                      
84246658,000007165183,DO-818160                     
82621002,000006771465,DO-626648                     
40202312,000002478782,DO-59300                      
40204171,000002423308,DO-60580                      
10100498,000002275327,DO-70903                      
50070701,000002040154,DO-81309                      
84068341,000006886005,DO-1650562                    
82966997,000006024819,DO-370720                     
83003196,000006156605,DO-393122                     
82619672,000005438290,DO-214000                     
85170625,000008414845,DO-1422960                    
83960196,000006700870,DO-580406                     
111712238,000008805678,DO-814164                     
84722481,000007943908,DO-1187920                    
40203639,000002292105,DO-847956                     
40202456,000002040183,DO-59405                      
40202528,000002042104,DO-59441                      
40206323,000002361047,DO-796722                     
60327104,000002137345,DO-85412                      
82993715,000006138031,DO-398080                     
83022306,000006180192,DO-416162                     
82998279,000006208354,DO-400960                     
40213276,000002648758,DO-62112                      
83870853,000006389697,DO-483019                     
84379804,000007367348,DO-914482                     
83979247,000006731856,DO-601360                     
84658068,000007846394,DO-1110641                    
83036728,000006198629,DO-426243                     
83843777,000006327793,DO-463051                     
82982785,000006269224,DO-362812                     
82979834,000006035967,DO-387520                     
82981185,000006040281,DO-388564                     
82979866,000006035960,DO-387680                     
83045324,000006214611,DO-432243                     
30063536,000002870746,DO-76500                      
30188746,000002768623,DO-57630                      
85231834,000008486354,DO-1446082                    
84920132,000008102184,DO-1300086                    
40209471,000002652131,DO-79695                      
40209568,000002653932,DO-79715                      
84554650,000007697816,DO-1067946                    
40213548,000002299569,DO-62221                      
40203995,000002418035,DO-60463                      
40204001,000002418199,DO-60467                      
40202649,000002044399,DO-59500                      
84343092,000007316029,DO-901040                     
40203391,000002430626,DO-60036                      
40205232,000002402380,DO-61332                      
112801715,000009499570,DO-931055                     
112809580,000009507237,DO-916260                     
112534175,000009288568,DO-890264                     
82983215,000006101598,DO-391520                     
83015897,000006172890,DO-410401                     
83016462,000006173392,DO-411040                     
84923026,000008104744,DO-1303040                    
84930721,000008111037,DO-1690881                    
84570521,000007723688,DO-1079121                    
111724949,000008888116,DO-814249                     
111724945,000008888118,DO-814234                     
85305804,000008563037,DO-1503527                    
111716911,000008846548,DO-813655                     
111725591,000008815806,DO-814646                     
111725817,000008812914,DO-815146                     
111719073,000008875447,DO-813439                     
40213529,000002299456,DO-62218                      
40205675,000002771649,DO-61657                      
40207542,000002674733,DO-78997                      
40203967,000002417042,DO-793285                     
25275191,000002401158,DO-56292                      
81529856,000002100285,DO-52924                      
81647443,000002675473,DO-70104                      
21013321,000002210554,DO-55169                      
40204033,000002419408,DO-60494                      
82994316,000006138543,DO-398720                     
83015864,000006172869,DO-410400                     
82995054,000006139419,DO-399360                     
82978125,000006028496,DO-383280                     
83017869,000006174690,DO-413360                     
82994247,000006138534,DO-398560                     
84659286,000007848227,DO-1113200                    
60004669,000002100950,DO-83542                      
81529833,000002099610,DO-52906                      
21024950,000002163101,DO-73512                      
84140158,000007293558,DO-633044                     
40207540,000002674629,DO-78995                      
40213360,000002650483,DO-62145                      
83870860,000006389721,DO-483026                     
84658981,000007847913,DO-1112641                    
40207543,000002674779,DO-800234                     
85210555,000008462333,DO-1443680                    
85029739,000008233192,DO-1358640                    
84925038,000008106444,DO-1303689                    
85304307,000008561923,DO-1503763                    
84352636,000007328147,DO-913841                     
84367835,000007377982,DO-930320                     
40205964,000002753105,DO-77982                      
83974933,000006724763,DO-595684                     
111723875,000008812130,DO-815050                     
40206749,000002701744,DO-78498                      
40204013,000002418657,DO-60477                      
21007813,000002751825,DO-54725                      
40201847,000002787296,DO-58983                      
83002585,000006171438,DO-402960                     
83003024,000006159063,DO-403200                     
40204262,000002773627,DO-60644                      
82867176,000005875780,DO-330001                     
84717147,000007935568,DO-1715520                    
84054193,000006858477,DO-672962                     
85108998,000008276717,DO-1386884                    
25268251,000002090137,DO-74801                      
83030135,000006190068,DO-421204                     
85223672,000008476901,DO-1454405                    
83039636,000006202942,DO-427360                     
82978189,000006028508,DO-383600                     
83923520,000006630202,DO-1738244                    
84416525,000007427773,DO-962800                     
83846728,000006332805,DO-466243                     
80100363,000002275202,DO-67946                      
84225785,000007131630,DO-802640                     
84931415,000008112395,DO-1685684                    
85026162,000008231020,DO-1334166                    
40206499,000002694071,DO-78345                      
111725675,000008858261,DO-814938                     
111723056,000008837771,DO-814986                     
111724973,000008863186,DO-814633                     
111724993,000008863188,DO-814629                     
84367844,000007377986,DO-930322                     
84389290,000007381637,DO-944161                     
40206494,000002693860,DO-78341                      
